District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Rupnagar,148162.0,8889.72,82229.91,60537.0,3026.8500000000004,39772.809
Sahibzada Ajit Singh Nagar,117293.0,8562.389,53837.486999999994,174042.0,6613.596,124440.03
Sangrur,292156.0,17821.516,123289.83200000001,156788.0,7369.036,92034.55600000001
Barnala,102577.0,6667.505,39492.145000000004,54222.0,3199.0980000000004,27382.11
Chandigarh,8911.0,249.50799999999998,4393.123,289456.0,10130.960000000001,199435.184
Uttarkashi,112148.0,3364.44,76709.232,9061.0,72.488,7230.677999999999
Chamoli,163434.0,4085.8500000000004,113423.19600000001,22906.0,206.15400000000002,19790.784000000003
Rudraprayag,112705.0,2141.395,86782.85,4454.0,13.362,3652.2799999999997
Tehri Garhwal,227059.0,6357.651999999999,149858.94,27177.0,190.23899999999998,23698.344
Dehradun,228245.0,8901.555,152695.905,269393.0,6465.432,199889.606
Garhwal,279682.0,5034.276000000001,199692.94800000003,36780.0,404.58000000000004,30122.820000000003
Pithoragarh,183687.0,4224.8009999999995,119763.924,26256.0,131.28,23131.535999999996
Bageshwar,96031.0,2784.899,64244.739,3880.0,34.92,3437.6799999999994
Almora,260056.0,4420.952,187760.432,21082.0,274.06600000000003,17413.732
Champawat,85202.0,5112.12,43879.03,12839.0,757.5010000000001,7973.019
Nainital,193086.0,9847.385999999999,117782.45999999999,105577.0,3167.31,78126.98
Udham Singh Nagar,269406.0,18050.202,120424.482,145253.0,5810.12,81051.17399999998
Hardwar,301828.0,15996.884,130389.69600000001,186183.0,4096.026000000001,131072.83200000002
Panchkula,70895.0,3473.855,38637.775,93656.0,4401.832,66870.384
Ambala,175365.0,7540.695,83824.47,139891.0,4616.403,91628.60500000001
Yamunanagar,214464.0,13725.696,91147.2,143259.0,5730.36,84809.32800000001
Kurukshetra,203553.0,8752.778999999999,96077.016,88268.0,3089.38,57815.54
Kaithal,231091.0,11092.368,85272.579,,,
Karnal,292682.0,14341.418,121463.03,135920.0,3533.9200000000005,89299.44
Panipat,173502.0,7287.084000000001,69227.298,153804.0,4460.316,84438.396
Sonipat,,,,133576.0,4541.584000000001,77741.232
Jind,278335.0,13916.75,87675.525,89665.0,2510.62,52633.35500000001
Fatehabad,203020.0,11572.140000000001,84659.34000000001,55360.0,2712.6400000000003,32551.679999999997
Sirsa,245476.0,14483.084,114146.34000000001,93316.0,3825.9559999999997,55802.968
